2.000000000000000111e-01 1.677096586154101843e+01 1.449799453236723032e-02 2.877439734974579499e-02 8.296603516352670307e-03 2.514137610608987040e-03 5.618926578830447330e-04 4.428778147841267327e-05
4.000000000000000222e-01 2.977928735543684091e+00 1.610254340265206141e-02 4.077841320528872299e-02 1.344104972034806597e-02 4.897478355278973156e-03 1.409895857540995881e-03 1.855966013467472489e-04
5.999999999999999778e-01 8.950200708884222811e-01 1.802419911153082741e-02 5.309938081463785181e-02 1.867908809290582187e-02 6.970604560287656584e-03 2.073283280903014808e-03 2.919386305878695145e-04
8.000000000000000444e-01 3.336547309155124541e-01 1.753130247730774055e-02 6.619195671264384295e-02 2.583330852067598424e-02 1.012572960367469702e-02 3.023441657736366216e-03 4.171849432270553488e-04
1.000000000000000000e+00 1.394745043019633701e-01 1.416676097473481243e-02 7.795888356013876141e-02 3.379014571134206918e-02 1.445549521554493830e-02 4.651943754361662076e-03 6.582036727254906563e-04
1.199999999999999956e+00 6.266347428589423563e-02 8.884132037230594789e-03 8.756564177073646038e-02 4.125653643907151863e-02 1.919621128384279077e-02 6.782405975152244575e-03 1.038296372076076297e-03
1.399999999999999911e+00 2.964254940898671323e-02 2.582385084017224577e-03 9.518827081183119099e-02 4.775329072658297813e-02 2.373371654851147428e-02 9.027103352882084528e-03 1.478121778231507007e-03
1.600000000000000089e+00 1.459349823612573691e-02 -4.365234201077127126e-03 1.012851449258398429e-01 5.333793605336548810e-02 2.789069257263679727e-02 1.119373155798275392e-02 1.919663996503195771e-03
1.800000000000000044e+00 7.421567112901278178e-03 -1.186070247621618876e-02 1.062281459101288850e-01 5.817148908417501402e-02 3.170012206811562150e-02 1.325235558164748577e-02 2.343168396637138572e-03
2.000000000000000000e+00 3.878331933122041060e-03 -1.983751205678930402e-02 1.102495730180098055e-01 6.235116231678030502e-02 3.521567976955508605e-02 1.521328791589010750e-02 2.747911112396014387e-03
2.200000000000000178e+00 2.074695911382069304e-03 -2.819143300680230363e-02 1.134912267435539135e-01 6.590755243809522101e-02 3.845580288723721152e-02 1.707471450847209554e-02 3.138460933352626124e-03
